"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.06€","0.06€","162.763"
"2021-03-07 18:59","0.07€","0.06€","162.763"
"2021-03-07 19:27","0.07€","0.06€","164.263"
"2021-03-07 19:37","0.07€","0.06€","164.263"
"2021-03-07 19:47","0.07€","0.06€","164.263"
"2021-03-07 20:0","0.07€","0.06€","164.263"
"2021-03-07 20:10","0.07€","0.06€","164.263"
"2021-03-07 20:20","0.07€","0.06€","168.634"
"2021-03-07 20:30","0.07€","0.06€","168.634"
"2021-03-07 20:40","0.07€","0.06€","168.634"
"2021-03-07 20:50","0.07€","0.06€","168.634"
"2021-03-07 21:0","0.07€","0.06€","168.634"
"2021-03-07 21:10","0.07€","0.05€","171.941"
"2021-03-07 21:20","0.07€","0.05€","171.941"
"2021-03-07 21:30","0.07€","0.05€","171.941"
"2021-03-07 21:40","0.07€","0.05€","171.941"
"2021-03-07 21:50","0.07€","0.05€","171.941"
"2021-03-07 16:6","0.06€","0.05€","171.941"
"2021-03-07 22:21","0.07€","0.05€","171.828"
"2021-03-07 22:31","0.07€","0.05€","171.828"
"2021-03-07 22:41","0.07€","0.05€","171.828"
"2021-03-07 22:51","0.07€","0.05€","171.828"
"2021-03-07 23:1","0.07€","0.05€","171.828"
"2021-03-07 23:30","0.07€","0.05€","171.561"
"2021-03-07 23:40","0.07€","0.05€","171.561"
"2021-03-07 23:50","0.07€","0.05€","171.561"
"2021-03-08 0:0","0.07€","0.05€","171.561"
"2021-03-08 0:10","0.07€","0.05€","171.561"
"2021-03-08 0:20","0.07€","0.05€","168.861"
"2021-03-08 0:30","0.07€","0.05€","168.861"
"2021-03-08 0:40","0.05€","0.05€","168.861"
"2021-03-08 0:50","0.07€","0.05€","168.861"
"2021-03-08 1:0","0.07€","0.05€","168.861"
"2021-03-08 1:10","0.07€","0.05€","168.861"
"2021-03-08 1:20","0.07€","0.07€","167.866"
"2021-03-08 1:30","0.07€","0.07€","167.866"
"2021-03-08 1:40","0.07€","0.07€","167.866"
"2021-03-08 1:50","0.07€","0.07€","167.866"
"2021-03-08 2:0","0.07€","0.07€","167.866"
"2021-03-08 2:10","0.07€","0.07€","167.866"
"2021-03-08 10:36","0.06€","0.05€","157.612"
"2021-03-08 10:46","0.06€","0.05€","157.612"
"2021-03-08 10:56","0.06€","0.05€","157.612"
"2021-03-08 11:6","0.06€","0.05€","157.612"
