"date","lowest_price","median_price","volume"
"1615461960000","0.28€","0.28€","58.196"
"1615461960000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463700000","0.27€","0.28€","58.196"
"1615463760000","0.27€","0.28€","58.196"
"1615463820000","0.26€","0.28€","58.196"
"1615551960000","0.29€","0.29€","62.505"
"1615551960000","0.29€","0.29€","62.505"
"1615552020000","0.29€","0.29€","62.505"
"1615557480000","0.30€","0.30€","64.555"
"1615557780000","0.29€","0.30€","64.555"
"1615557780000","0.29€","0.30€","64.555"
"1615558140000","0.29€","0.30€","64.555"
"1615558200000","0.30€","0.30€","64.555"
"1615562820000","0.29€","0.31€","68.206"
"1615562820000","0.29€","0.31€","68.206"
"1615563120000","0.30€","0.31€","68.206"
"1615563480000","0.30€","0.31€","68.206"
"1615563900000","0.29€","0.31€","68.206"
"1615564080000","0.30€","0.31€","68.206"
"1615566060000","0.29€","0.30€","67.485"
"1615568100000","0.30€","0.30€","67.485"
"1615570080000","0.30€","0.30€","67.528"
1615572060000,"0.29€","0.30€","67.528"
