"date","lowest_price","median_price","volume"
"2021-03-07 16:44","1.08€","1.10€","28.829"
"2021-03-07 16:49","1.08€","1.10€","28.829"
"2021-03-07 16:51","1.07€","1.10€","28.829"
"2021-03-07 17:1","1.07€","1.10€","28.829"
"2021-03-07 17:11","1.07€","1.10€","28.829"
"2021-03-07 17:21","1.08€","1.09€","28.611"
"2021-03-07 17:31","1.08€","1.09€","28.611"
"2021-03-07 17:41","1.07€","1.09€","28.611"
"2021-03-07 17:51","1.07€","1.09€","28.611"
"2021-03-07 18:1","1.06€","1.09€","28.611"
"2021-03-07 18:11","1.06€","1.08€","29.450"
"2021-03-07 18:21","1.07€","1.08€","29.450"
"2021-03-07 18:38","1.05€","1.08€","29.450"
"2021-03-07 18:41","1.06€","1.08€","29.450"
"2021-03-07 18:49","1.07€","1.08€","29.450"
"2021-03-07 18:59","1.06€","1.08€","29.450"
"2021-03-07 19:27","1.04€","1.07€","30.069"
"2021-03-07 19:37","1.03€","1.07€","30.069"
"2021-03-07 19:47","1.05€","1.07€","30.069"
"2021-03-07 20:0","1.05€","1.07€","30.069"
"2021-03-07 20:10","1.06€","1.04€","29.999"
"2021-03-07 20:20","1.05€","1.04€","29.999"
"2021-03-07 20:30","1.05€","1.04€","29.999"
"2021-03-07 20:40","1.06€","1.04€","29.999"
"2021-03-07 20:50","1.07€","1.04€","29.999"
"2021-03-07 21:0","1.04€","1.04€","29.999"
"2021-03-07 21:10","1.05€","1.04€","29.999"
"2021-03-07 21:20","1.04€","1.06€","30.127"
"2021-03-07 21:30","1.05€","1.06€","30.127"
"2021-03-07 21:40","1.05€","1.06€","30.127"
"2021-03-07 21:50","1.07€","1.06€","30.127"
"2021-03-07 16:6","1.07€","1.06€","30.127"
"2021-03-07 22:21","1.06€","1.05€","29.942"
"2021-03-07 22:31","1.07€","1.05€","29.942"
"2021-03-07 22:41","1.05€","1.05€","29.942"
"2021-03-07 22:51","1.05€","1.05€","29.942"
"2021-03-07 23:1","1.03€","1.05€","29.942"
"2021-03-07 23:30","1.07€","1.06€","29.863"
"2021-03-07 23:40","1.07€","1.06€","29.863"
"2021-03-07 23:50","1.07€","1.06€","29.863"
"2021-03-08 0:0","1.05€","1.06€","29.863"
"2021-03-08 0:10","1.03€","1.06€","29.863"
"2021-03-08 0:20","1.03€","1.06€","29.934"
"2021-03-08 0:30","1.03€","1.06€","29.934"
"2021-03-08 0:40","1.03€","1.06€","29.934"
"2021-03-08 0:50","1.05€","1.06€","29.934"
"2021-03-08 1:0","1.04€","1.06€","29.934"
"2021-03-08 1:10","1.03€","1.06€","29.934"
"2021-03-08 1:20","1.03€","1.03€","29.906"
"2021-03-08 1:30","1.04€","1.03€","29.906"
"2021-03-08 1:40","1.04€","1.03€","29.906"
"2021-03-08 1:50","1.04€","1.03€","29.906"
"2021-03-08 2:0","1.05€","1.03€","29.906"
"2021-03-08 2:10","1.05€","1.03€","29.906"
"2021-03-08 10:36","1.11€","1.12€","31.167"
"2021-03-08 10:46","1.11€","1.12€","31.167"
"2021-03-08 10:56","1.10€","1.12€","31.167"
"2021-03-08 11:6","1.10€","1.12€","31.167"
"2021-03-08 11:16","1.11€","1.12€","31.221"
"2021-03-08 11:26","1.09€","1.12€","31.221"
"2021-03-08 11:36","1.08€","1.12€","31.221"
"2021-03-08 11:46","1.07€","1.12€","31.221"
"2021-03-08 11:56","1.07€","1.12€","31.221"
"2021-03-08 12:6","1.09€","1.12€","31.221"
"2021-03-08 12:16","1.07€","1.10€","30.906"
"2021-03-08 12:26","1.06€","1.10€","30.906"
"2021-03-08 12:36","1.09€","1.10€","30.906"
"2021-03-08 12:46","1.07€","1.10€","30.906"
"2021-03-08 13:0","1.10€","1.10€","30.906"
"2021-03-08 13:4","1.10€","1.10€","30.906"
"2021-03-08 13:14","1.10€","1.10€","30.937"
"2021-03-08 13:24","1.05€","1.10€","30.937"
"2021-03-08 13:34","1.10€","1.10€","30.937"
"2021-03-08 13:44","1.10€","1.10€","30.937"
"2021-03-08 13:54","1.09€","1.10€","30.937"
"2021-03-08 14:26","1.09€","1.10€","31.686"
"2021-03-08 14:28","1.10€","1.10€","31.686"
"2021-03-08 14:38","1.09€","1.10€","31.686"
"2021-03-08 14:48","1.09€","1.10€","31.686"
"2021-03-08 14:58","1.08€","1.10€","31.686"
"2021-03-08 15:8","1.07€","1.10€","31.686"
"2021-03-08 15:19","1.08€","1.10€","31.746"
"2021-03-08 15:29","1.08€","1.10€","31.746"
"2021-03-08 15:39","1.08€","1.10€","31.746"
"2021-03-08 15:49","1.08€","1.10€","31.746"
"2021-03-08 15:53","1.08€","1.10€","31.746"
"2021-03-08 16:3","1.08€","1.10€","31.746"
"2021-03-08 16:23","1.08€","1.09€","32.754"
"2021-03-08 16:25","1.09€","1.09€","32.754"
"2021-03-08 16:26","1.07€","1.09€","32.754"
"2021-03-08 16:27","1.07€","1.09€","32.754"
"2021-03-08 16:28","1.08€","1.09€","32.754"
"2021-03-08 16:33","1.08€","1.09€","32.754"
"2021-03-08 17:8","1.06€","1.09€","32.754"
"1615219740000","1.06€","1.09€","32.754"
"1615322760000","1.01€","1.02€","30.663"
"1615322940000","1.--€","1.02€","30.663"
"1615323540000","0.99€","1.02€","30.663"
"1615324140000","0.98€","1.02€","30.663"
"1615326000000","0.99€","1.01€","30.594"
"1615326360000","0.98€","1.01€","30.594"
"1615326420000","0.98€","1.01€","30.594"
"1615326540000","0.98€","1.01€","30.594"
"1615327860000","0.98€","1.01€","30.594"
"1615328460000","0.98€","0.98€","30.965"
"1615329060000","0.98€","0.98€","30.965"
"1615329660000","0.98€","0.98€","30.965"
"1615330260000","0.96€","0.98€","30.965"
"1615330860000","0.99€","0.98€","30.965"
"1615331460000","0.99€","0.98€","30.965"
"1615332060000","0.98€","0.97€","31.184"
"1615332660000","0.98€","0.97€","31.184"
"1615333260000","0.99€","0.97€","31.184"
"1615333860000","1.--€","0.97€","31.184"
"1615334460000","0.99€","0.97€","31.184"
"1615335000000","0.98€","0.97€","31.184"
"1615335060000","0.98€","0.99€","30.103"
"1615335660000","0.96€","0.99€","30.103"
"1615336260000","0.96€","0.99€","30.103"
"1615336860000","0.98€","0.99€","30.103"
"1615337460000","0.97€","0.99€","30.103"
"1615338060000","0.97€","0.99€","30.103"
"1615338660000","0.99€","0.99€","30.103"
"1615339260000","1.--€","0.97€","30.000"
"1615339860000","1.--€","0.97€","30.000"
"1615340460000","1.01€","0.97€","30.000"
"1615341060000","1.03€","0.97€","30.000"
"1615341660000","1.03€","0.97€","30.000"
"1615342260000","1.05€","0.97€","30.000"
"1615342860000","1.05€","1.01€","30.154"
"1615343460000","1.04€","1.01€","30.154"
"1615344060000","1.04€","1.01€","30.154"
"1615344660000","1.--€","1.01€","30.154"
"1615345260000","1.01€","1.01€","30.154"
"1615345860000","1.05€","1.05€","30.338"
"1615346460000","1.05€","1.05€","30.338"
"1615347060000","1.05€","1.05€","30.338"
"1615347660000","1.04€","1.05€","30.338"
"1615348260000","1.04€","1.05€","30.338"
"1615348860000","1.06€","1.05€","30.338"
"1615349460000","1.06€","1.05€","30.338"
"1615350060000","1.06€","1.06€","30.006"
"1615350660000","1.07€","1.06€","30.006"
"1615351260000","1.07€","1.06€","30.006"
"1615351860000","1.07€","1.06€","30.006"
"1615352460000","1.07€","1.06€","30.006"
"1615353060000","1.07€","1.06€","30.006"
"1615353660000","1.07€","1.08€","29.747"
"1615354260000","1.08€","1.08€","29.747"
"1615354860000","1.08€","1.08€","29.747"
"1615355460000","1.08€","1.08€","29.747"
"1615356060000","1.08€","1.08€","29.747"
"1615356660000","1.08€","1.08€","29.747"
"1615357260000","1.07€","1.09€","28.995"
"1615357860000","1.08€","1.09€","28.995"
"1615358460000","1.08€","1.09€","28.995"
"1615359060000","1.07€","1.09€","28.995"
"1615359660000","1.04€","1.09€","28.995"
"1615360260000","1.08€","1.09€","28.825"
"1615360860000","1.08€","1.09€","28.825"
"1615361460000","1.04€","1.09€","28.825"
"1615362060000","0.99€","1.09€","28.825"
"1615362660000","1.04€","1.09€","28.825"
"1615363260000","1.04€","1.09€","28.825"
"1615363860000","1.07€","1.05€","27.907"
"1615364460000","1.06€","1.05€","27.907"
"1615365060000","1.08€","1.05€","27.907"
"1615365660000","1.08€","1.05€","27.907"
"1615366260000","1.05€","1.05€","27.907"
"1615366860000","1.04€","1.05€","27.907"
"1615367460000","1.07€","1.05€","27.907"
"1615368060000","1.07€","1.08€","27.603"
"1615368660000","1.08€","1.08€","27.603"
"1615369260000","1.08€","1.08€","27.603"
"1615369860000","1.04€","1.08€","27.603"
"1615370460000","1.05€","1.08€","27.603"
"1615371060000","1.07€","1.08€","26.799"
"1615371660000","1.07€","1.08€","26.799"
"1615372260000","1.08€","1.08€","26.799"
"1615372860000","1.07€","1.08€","26.799"
"1615373460000","1.08€","1.08€","26.799"
"1615374060000","1.07€","1.08€","26.799"
"1615374660000","1.08€","1.08€","26.799"
"1615375260000","1.08€","1.08€","26.649"
"1615375860000","1.08€","1.08€","26.649"
"1615376460000","1.07€","1.08€","26.649"
"1615377060000","1.06€","1.08€","26.649"
"1615387140000","0.99€","1.08€","26.774"
"1615387740000","0.99€","1.08€","26.774"
"1615388340000","1.--€","1.08€","26.774"
"1615388940000","1.07€","1.08€","26.774"
"1615389540000","1.05€","1.03€","26.466"
"1615390140000","1.04€","1.03€","26.466"
"1615390740000","1.06€","1.03€","26.466"
"1615391340000","1.03€","1.03€","26.466"
"1615391940000","1.05€","1.03€","26.466"
"1615392540000","1.06€","1.03€","26.466"
"1615393140000","1.07€","1.06€","26.102"
"1615393740000","1.04€","1.06€","26.102"
"1615394340000","1.07€","1.06€","26.102"
"1615394940000","1.05€","1.06€","26.102"
"1615395540000","1.03€","1.06€","26.102"
"1615401300000","1.--€","1.04€","25.566"
"1615401360000","1.--€","1.04€","25.566"
"1615401960000","1.--€","1.04€","25.566"
"1615402560000","1.05€","1.04€","25.566"
"1615403160000","1.--€","1.04€","25.566"
"1615403760000","1.01€","1.04€","25.566"
"1615404360000","1.01€","1.04€","25.566"
"1615404960000","1.06€","1.04€","25.566"
"1615405560000","1.--€","1.04€","25.566"
"1615406160000","1.--€","1.04€","25.566"
"1615408560000","1.04€","1.01€","26.089"
"1615409160000","1.04€","1.01€","26.089"
"1615421700000","0.97€","0.98€","26.382"
"1615421760000","0.97€","0.98€","26.382"
"1615422360000","0.96€","0.98€","26.382"
"1615422960000","0.96€","0.98€","26.382"
"1615423560000","0.98€","0.98€","26.382"
"1615424160000","1.--€","0.98€","26.382"
"1615424760000","1.03€","0.98€","26.382"
"1615425360000","1.04€","0.97€","26.363"
"1615425960000","1.01€","0.97€","26.363"
"1615426560000","0.98€","0.97€","26.363"
"1615427160000","0.98€","0.97€","26.363"
"1615427760000","0.99€","0.97€","26.363"
"1615428360000","1.04€","0.97€","26.363"
"1615428960000","1.03€","1.02€","26.339"
"1615429560000","1.--€","1.02€","26.339"
"1615460520000","1.04€","1.06€","28.688"
"1615460580000","1.04€","1.06€","28.688"
"1615461180000","1.04€","1.06€","28.688"
"1615461780000","1.03€","1.06€","28.447"
"1615465140000","1.05€","1.04€","28.245"
"1615465740000","1.05€","1.04€","28.245"
"1615466340000","1.04€","1.04€","28.245"
"1615466940000","1.05€","1.04€","28.245"
"1615467540000","1.05€","1.04€","28.245"
"1615468140000","1.06€","1.04€","28.245"
"1615468740000","1.06€","1.05€","28.138"
"1615469340000","1.05€","1.05€","28.138"
"1615469940000","1.04€","1.05€","28.138"
"1615470540000","1.04€","1.05€","28.138"
"1615471140000","1.05€","1.05€","28.138"
"1615471740000","1.04€","1.05€","28.138"
"1615472340000","1.06€","1.06€","27.761"
"1615472940000","1.06€","1.06€","27.761"
