"date","lowest_price","median_price","volume"
"2021-03-07 16:44","0.71€","0.72€","164.019"
"2021-03-07 16:49","0.71€","0.72€","164.019"
"2021-03-07 16:51","0.72€","0.72€","164.019"
"2021-03-07 17:1","0.72€","0.72€","164.019"
"2021-03-07 17:11","0.71€","0.72€","164.019"
"2021-03-07 17:21","0.72€","0.72€","162.730"
"2021-03-07 17:31","0.72€","0.72€","162.730"
"2021-03-07 17:41","0.72€","0.72€","162.730"
"2021-03-07 17:51","0.72€","0.72€","162.730"
"2021-03-07 18:1","0.72€","0.72€","162.730"
"2021-03-07 18:11","0.71€","0.72€","160.521"
"2021-03-07 18:21","0.72€","0.72€","160.521"
"2021-03-07 18:38","0.72€","0.72€","160.521"
"2021-03-07 18:41","0.72€","0.72€","160.521"
"2021-03-07 18:49","0.71€","0.72€","160.521"
"2021-03-07 18:59","0.72€","0.72€","160.521"
"2021-03-07 19:27","0.72€","0.72€","157.845"
"2021-03-07 19:37","0.71€","0.72€","157.845"
"2021-03-07 19:47","0.72€","0.72€","157.845"
"2021-03-07 20:0","0.72€","0.72€","157.845"
"2021-03-07 20:10","0.70€","0.72€","157.845"
"2021-03-07 20:20","0.71€","0.71€","157.561"
"2021-03-07 20:30","0.71€","0.71€","157.561"
"2021-03-07 20:40","0.71€","0.71€","157.561"
"2021-03-07 20:50","0.72€","0.71€","157.561"
"2021-03-07 21:0","0.71€","0.71€","157.561"
"2021-03-07 21:10","0.71€","0.71€","157.561"
"2021-03-07 21:20","0.71€","0.71€","155.791"
"2021-03-07 21:30","0.71€","0.71€","155.791"
"2021-03-07 21:40","0.71€","0.71€","155.791"
"2021-03-07 21:50","0.71€","0.71€","155.791"
"2021-03-07 16:6","0.71€","0.71€","155.791"
"2021-03-07 22:21","0.71€","0.71€","155.125"
"2021-03-07 22:31","0.71€","0.71€","155.125"
"2021-03-07 22:41","0.71€","0.71€","155.125"
"2021-03-07 22:51","0.71€","0.71€","155.125"
"2021-03-07 23:1","0.71€","0.71€","155.125"
"2021-03-07 23:30","0.71€","0.71€","154.579"
"2021-03-07 23:40","0.71€","0.71€","154.579"
"2021-03-07 23:50","0.72€","0.71€","154.579"
"2021-03-08 0:0","0.71€","0.71€","154.579"
"2021-03-08 0:10","0.71€","0.71€","154.579"
"2021-03-08 0:20","0.71€","0.71€","153.236"
"2021-03-08 0:30","0.71€","0.71€","153.236"
"2021-03-08 0:40","0.72€","0.71€","153.236"
"2021-03-08 0:50","0.71€","0.71€","153.236"
"2021-03-08 1:0","0.72€","0.71€","153.236"
