"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.15€","0.14€","93.129"
"2021-03-07 18:59","0.14€","0.14€","93.129"
"2021-03-07 19:27","0.15€","0.14€","92.928"
"2021-03-07 19:37","0.14€","0.14€","92.928"
"2021-03-07 19:47","0.14€","0.14€","92.928"
"2021-03-07 20:0","0.14€","0.14€","92.928"
"2021-03-07 20:10","0.14€","0.14€","92.928"
"2021-03-07 20:20","0.15€","0.14€","92.901"
"2021-03-07 20:30","0.15€","0.14€","92.901"
"2021-03-07 20:40","0.15€","0.14€","92.901"
"2021-03-07 20:50","0.15€","0.14€","92.901"
"2021-03-07 21:0","0.14€","0.14€","92.901"
"2021-03-07 21:10","0.15€","0.14€","92.901"
"2021-03-07 21:20","0.15€","0.14€","93.476"
"2021-03-07 21:30","0.14€","0.14€","93.476"
"2021-03-07 21:40","0.14€","0.14€","93.476"
"2021-03-07 21:50","0.14€","0.14€","93.476"
"2021-03-07 16:6","0.14€","0.14€","93.476"
"2021-03-07 22:21","0.14€","0.14€","92.858"
"2021-03-07 22:31","0.14€","0.14€","92.858"
"2021-03-07 22:41","0.14€","0.14€","92.858"
"2021-03-07 22:51","0.14€","0.14€","92.858"
"2021-03-07 23:1","0.14€","0.14€","92.858"
"2021-03-07 23:30","0.14€","0.14€","92.048"
"2021-03-07 23:40","0.14€","0.14€","92.048"
"2021-03-07 23:50","0.14€","0.14€","92.048"
"2021-03-08 0:0","0.14€","0.14€","92.048"
"2021-03-08 0:10","0.14€","0.14€","92.048"
"2021-03-08 0:20","0.14€","0.13€","91.173"
"2021-03-08 0:30","0.14€","0.13€","91.173"
"2021-03-08 0:40","0.14€","0.13€","91.173"
"2021-03-08 0:50","0.14€","0.13€","91.173"
"2021-03-08 1:0","0.14€","0.13€","91.173"
"2021-03-08 1:10","0.14€","0.13€","91.173"
"2021-03-08 1:20","0.14€","0.13€","90.138"
"2021-03-08 1:30","0.14€","0.13€","90.138"
"2021-03-08 1:40","0.14€","0.13€","90.138"
"2021-03-08 1:50","0.14€","0.13€","90.138"
"2021-03-08 2:0","0.14€","0.13€","90.138"
"2021-03-08 2:10","0.14€","0.13€","90.138"
"2021-03-08 10:36","0.15€","0.14€","91.499"
"2021-03-08 10:46","0.15€","0.14€","91.499"
"2021-03-08 10:56","0.15€","0.14€","91.499"
"2021-03-08 11:6","0.15€","0.14€","91.499"
"2021-03-08 11:16","0.15€","0.15€","92.533"
"2021-03-08 11:26","0.15€","0.15€","92.533"
"2021-03-08 11:36","0.15€","0.15€","92.533"
"2021-03-08 11:46","0.15€","0.15€","92.533"
"2021-03-08 11:56","0.14€","0.15€","92.533"
"2021-03-08 12:6","0.14€","0.15€","92.533"
"2021-03-08 12:16","0.14€","0.14€","93.058"
"2021-03-08 12:26","0.14€","0.14€","93.058"
"2021-03-08 12:36","0.14€","0.14€","93.058"
"2021-03-08 12:46","0.14€","0.14€","93.058"
"2021-03-08 13:0","0.14€","0.14€","93.058"
"2021-03-08 13:4","0.14€","0.14€","93.058"
"2021-03-08 13:14","0.14€","0.14€","94.445"
"2021-03-08 13:24","0.14€","0.14€","94.445"
"2021-03-08 13:34","0.14€","0.14€","94.445"
"2021-03-08 13:44","0.14€","0.14€","94.445"
"2021-03-08 13:54","0.13€","0.14€","94.445"
"2021-03-08 14:26","0.14€","0.14€","95.792"
"2021-03-08 14:28","0.14€","0.14€","95.792"
"2021-03-08 14:38","0.14€","0.14€","95.792"
"2021-03-08 14:48","0.14€","0.14€","95.792"
"2021-03-08 14:58","0.14€","0.14€","95.792"
"2021-03-08 15:8","0.14€","0.14€","95.792"
"2021-03-08 15:19","0.13€","0.14€","96.488"
"2021-03-08 15:29","0.14€","0.14€","96.488"
"2021-03-08 15:39","0.14€","0.14€","96.488"
"2021-03-08 15:49","0.14€","0.14€","96.488"
"2021-03-08 15:53","0.14€","0.14€","96.488"
"2021-03-08 16:3","0.14€","0.14€","96.488"
"2021-03-08 16:23","0.14€","0.14€","96.207"
"2021-03-08 16:25","0.14€","0.14€","96.207"
"2021-03-08 16:26","0.14€","0.14€","96.207"
"2021-03-08 16:27","0.14€","0.14€","96.207"
"2021-03-08 16:28","0.14€","0.14€","96.207"
"2021-03-08 16:33","0.14€","0.14€","96.207"
"2021-03-08 17:8","0.14€","0.14€","96.207"
"1615219740000","0.14€","0.14€","96.207"
"1615322760000","0.13€","0.13€","84.317"
"1615322760000","0.13€","0.13€","84.317"
"1615322940000","0.13€","0.13€","84.317"
"1615323540000","0.13€","0.13€","84.317"
"1615324140000","0.13€","0.13€","84.317"
"1615326000000","0.13€","0.13€","85.981"
"1615326360000","0.13€","0.13€","85.981"
"1615326540000","0.13€","0.13€","85.981"
"1615327860000","0.13€","0.12€","85.981"
"1615328460000","0.13€","0.12€","87.357"
"1615329060000","0.13€","0.12€","87.357"
"1615329660000","0.13€","0.12€","87.357"
"1615330260000","0.13€","0.12€","87.357"
"1615330860000","0.13€","0.12€","87.357"
"1615331460000","0.13€","0.12€","87.357"
"1615332060000","0.13€","0.12€","87.247"
"1615332660000","0.13€","0.12€","87.247"
"1615333260000","0.13€","0.12€","87.247"
"1615333860000","0.13€","0.12€","87.247"
"1615334460000","0.13€","0.12€","87.247"
"1615335000000","0.13€","0.12€","87.247"
"1615335060000","0.13€","0.12€","87.247"
"1615335060000","0.13€","0.12€","87.247"
"1615335660000","0.13€","0.12€","86.441"
"1615336260000","0.13€","0.12€","86.441"
"1615336860000","0.13€","0.12€","86.441"
"1615337460000","0.13€","0.12€","86.441"
"1615338060000","0.13€","0.12€","86.441"
"1615338660000","0.13€","0.12€","86.441"
"1615339260000","0.13€","0.12€","86.438"
"1615339860000","0.13€","0.12€","86.438"
"1615340460000","0.13€","0.12€","86.438"
"1615341060000","0.13€","0.12€","86.438"
"1615341660000","0.13€","0.12€","86.438"
"1615342260000","0.13€","0.12€","86.419"
"1615342860000","0.13€","0.12€","86.419"
"1615343460000","0.13€","0.12€","86.419"
"1615344060000","0.13€","0.12€","86.419"
"1615344660000","0.13€","0.12€","86.419"
"1615345260000","0.13€","0.12€","86.419"
"1615345860000","0.13€","0.13€","86.059"
"1615346460000","0.13€","0.13€","86.059"
"1615347060000","0.13€","0.13€","86.059"
"1615347660000","0.13€","0.13€","86.059"
"1615348260000","0.13€","0.13€","86.059"
"1615348860000","0.13€","0.13€","86.059"
"1615349460000","0.13€","0.13€","86.059"
"1615350060000","0.14€","0.13€","86.059"
"1615350660000","0.13€","0.13€","86.059"
"1615351260000","0.13€","0.13€","86.059"
"1615351860000","0.13€","0.13€","86.059"
"1615352460000","0.13€","0.13€","86.059"
"1615353060000","0.13€","0.13€","86.059"
"1615353660000","0.13€","0.13€","85.544"
"1615354260000","0.13€","0.13€","85.544"
"1615354860000","0.14€","0.13€","85.544"
"1615355460000","0.14€","0.13€","85.544"
"1615356060000","0.14€","0.13€","85.544"
"1615356660000","0.13€","0.13€","85.544"
"1615357260000","0.13€","0.13€","84.742"
"1615357860000","0.13€","0.13€","84.742"
"1615358460000","0.13€","0.13€","84.742"
"1615359060000","0.13€","0.13€","84.742"
"1615359660000","0.13€","0.13€","84.742"
"1615360260000","0.13€","0.13€","85.423"
"1615360860000","0.13€","0.13€","85.423"
"1615361460000","0.13€","0.13€","85.423"
"1615362060000","0.13€","0.13€","85.423"
"1615362660000","0.13€","0.13€","85.423"
"1615363260000","0.13€","0.13€","85.423"
"1615363860000","0.13€","0.13€","85.423"
"1615364460000","0.13€","0.13€","85.742"
"1615365060000","0.13€","0.13€","85.742"
