"date","lowest_price","median_price","volume"
"2021-03-07 16:44","452.48€","372.03€","3"
"2021-03-07 16:49","452.48€","372.03€","3"
"2021-03-07 16:51","452.48€","372.03€","3"
"2021-03-07 17:1","452.48€","372.03€","3"
"2021-03-07 17:11","452.48€","372.03€","3"
"2021-03-07 17:21","452.48€","372.03€","1"
"2021-03-07 17:31","452.48€","372.03€","1"
"2021-03-07 17:41","452.48€","372.03€","1"
"2021-03-07 17:51","452.48€","372.03€","1"
"2021-03-07 18:1","452.48€","372.03€","1"
"2021-03-07 18:11","452.48€","372.03€","1"
"2021-03-07 18:21","452.48€","467.71€","2"
"2021-03-07 18:38","452.48€","467.71€","2"
"2021-03-07 18:41","452.48€","467.71€","2"
"2021-03-07 18:49","452.48€","467.71€","2"
"2021-03-07 18:59","452.48€","467.71€","2"
"2021-03-07 19:27","452.48€","467.71€","2"
"2021-03-07 19:37","452.48€","467.71€","2"
"2021-03-07 19:47","452.48€","467.71€","2"
"2021-03-07 20:0","452.48€","467.71€","2"
"2021-03-07 20:10","452.48€","467.71€","2"
"2021-03-07 20:20","452.48€","467.71€","2"
"2021-03-07 20:30","452.48€","467.71€","2"
"2021-03-07 20:40","452.48€","467.71€","2"
"2021-03-07 20:50","452.48€","467.71€","2"
"2021-03-07 21:0","452.48€","467.71€","2"
"2021-03-07 21:10","452.48€","467.71€","2"
"2021-03-07 21:20","452.48€","467.71€","1"
"2021-03-07 21:30","452.48€","467.71€","1"
"2021-03-07 21:40","452.48€","467.71€","1"
"2021-03-07 21:50","452.48€","467.71€","1"
