"date","lowest_price","median_price","volume"
"2021-03-07 16:44","421.61€","499.99€","3"
"2021-03-07 16:49","421.61€","499.99€","3"
"2021-03-07 16:51","421.61€","499.99€","3"
"2021-03-07 17:1","421.61€","499.99€","3"
"2021-03-07 17:11","421.61€","499.99€","3"
"2021-03-07 17:21","421.61€","499.99€","3"
"2021-03-07 17:31","421.61€","499.99€","3"
"2021-03-07 17:41","421.61€","499.99€","3"
"2021-03-07 17:51","421.61€","499.99€","3"
"2021-03-07 18:1","421.61€","499.99€","3"
"2021-03-07 18:11","421.61€","499.99€","3"
"2021-03-07 18:21","421.61€","499.99€","3"
"2021-03-07 18:38","421.61€","499.99€","3"
"2021-03-07 18:41","421.61€","499.99€","3"
"2021-03-07 18:49","421.61€","499.99€","3"
"2021-03-07 18:59","421.61€","499.99€","3"
"2021-03-07 19:27","421.61€","499.99€","3"
"2021-03-07 19:37","421.61€","499.99€","3"
"2021-03-07 19:47","421.61€","499.99€","3"
"2021-03-07 20:0","421.61€","499.99€","3"
"2021-03-07 20:10","421.61€","499.99€","3"
"2021-03-07 20:20","421.61€","499.99€","3"
"2021-03-07 20:30","421.61€","499.99€","3"
"2021-03-07 20:40","421.61€","499.99€","3"
"2021-03-07 20:50","421.61€","499.99€","3"
"2021-03-07 21:0","421.61€","499.99€","3"
"2021-03-07 21:10","421.61€","499.99€","3"
"2021-03-07 21:20","421.61€","499.99€","3"
"2021-03-07 21:30","421.61€","499.99€","3"
"2021-03-07 21:40","421.61€","499.99€","3"
"2021-03-07 21:50","421.61€","499.99€","3"
