"date","lowest_price","median_price","volume"
"2021-03-07 18:49","796.03€","760.--€","3"
"2021-03-07 18:59","796.03€","760.--€","3"
"2021-03-07 19:27","796.03€","760.--€","3"
"2021-03-07 19:37","796.03€","760.--€","3"
"2021-03-07 19:47","796.03€","760.--€","3"
"2021-03-07 20:0","796.03€","760.--€","3"
"2021-03-07 20:10","796.03€","760.--€","3"
"2021-03-07 20:20","796.03€","760.--€","3"
"2021-03-07 20:30","796.03€","760.--€","3"
"2021-03-07 20:40","796.03€","760.--€","3"
"2021-03-07 20:50","796.03€","760.--€","3"
"2021-03-07 21:0","796.03€","760.--€","3"
"2021-03-07 21:10","796.03€","760.--€","3"
