"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.06€","0.06€","162.763"
"2021-03-07 18:59","0.07€","0.06€","162.763"
"2021-03-07 19:27","0.07€","0.06€","164.263"
"2021-03-07 19:37","0.07€","0.06€","164.263"
"2021-03-07 19:47","0.07€","0.06€","164.263"
"2021-03-07 20:0","0.07€","0.06€","164.263"
"2021-03-07 20:10","0.07€","0.06€","164.263"
"2021-03-07 20:20","0.07€","0.06€","168.634"
"2021-03-07 20:30","0.07€","0.06€","168.634"
"2021-03-07 20:40","0.07€","0.06€","168.634"
"2021-03-07 20:50","0.07€","0.06€","168.634"
"2021-03-07 21:0","0.07€","0.06€","168.634"
"2021-03-07 21:10","0.07€","0.05€","171.941"
