"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.51€","0.53€","94.944"
"2021-03-07 18:59","0.52€","0.53€","94.944"
"2021-03-07 19:27","0.51€","0.52€","93.886"
"2021-03-07 19:37","0.52€","0.52€","93.886"
"2021-03-07 19:47","0.53€","0.52€","93.886"
"2021-03-07 20:0","0.51€","0.52€","93.886"
"2021-03-07 20:10","0.52€","0.52€","93.886"
"2021-03-07 20:20","0.53€","0.52€","93.889"
"2021-03-07 20:30","0.51€","0.52€","93.889"
"2021-03-07 20:40","0.52€","0.52€","93.889"
"2021-03-07 20:50","0.51€","0.52€","93.889"
"2021-03-07 21:0","0.51€","0.52€","93.889"
"2021-03-07 21:10","0.50€","0.52€","94.224"
"2021-03-07 21:20","0.50€","0.52€","94.224"
"2021-03-07 21:30","0.51€","0.52€","94.224"
"2021-03-07 21:40","0.50€","0.52€","94.224"
"2021-03-07 21:50","0.51€","0.52€","94.224"
"2021-03-07 16:6","0.49€","0.52€","94.224"
"2021-03-07 22:21","0.49€","0.50€","93.837"
"2021-03-07 22:31","0.50€","0.50€","93.837"
"2021-03-07 22:41","0.50€","0.50€","93.837"
"2021-03-07 22:51","0.49€","0.50€","93.837"
"2021-03-07 23:1","0.49€","0.50€","93.837"
"2021-03-07 23:30","0.50€","0.50€","92.634"
"2021-03-07 23:40","0.49€","0.50€","92.634"
"2021-03-07 23:50","0.49€","0.50€","92.634"
"2021-03-08 0:0","0.51€","0.50€","92.634"
"2021-03-08 0:10","0.51€","0.50€","92.634"
"2021-03-08 0:20","0.51€","0.50€","91.706"
"2021-03-08 0:30","0.51€","0.50€","91.706"
"2021-03-08 0:40","0.51€","0.50€","91.706"
"2021-03-08 0:50","0.50€","0.50€","91.706"
"2021-03-08 1:0","0.51€","0.50€","91.706"
"2021-03-08 1:10","0.52€","0.50€","91.706"
"2021-03-08 1:20","0.51€","0.50€","91.354"
"2021-03-08 1:30","0.52€","0.50€","91.354"
"2021-03-08 1:40","0.52€","0.50€","91.354"
"2021-03-08 1:50","0.50€","0.50€","91.354"
"2021-03-08 2:0","0.52€","0.50€","91.354"
"2021-03-08 2:10","0.52€","0.50€","91.354"
"2021-03-08 10:36","0.53€","0.52€","86.620"
"2021-03-08 10:46","0.50€","0.52€","86.620"
"2021-03-08 10:56","0.52€","0.52€","86.620"
"2021-03-08 11:6","0.53€","0.52€","86.620"
"2021-03-08 11:16","0.51€","0.52€","86.747"
"2021-03-08 11:26","0.51€","0.52€","86.747"
"2021-03-08 11:36","0.50€","0.52€","86.747"
"2021-03-08 11:46","0.51€","0.52€","86.747"
"2021-03-08 11:56","0.50€","0.52€","86.747"
"2021-03-08 12:6","0.50€","0.52€","86.747"
"2021-03-08 12:16","0.51€","0.51€","86.703"
"2021-03-08 12:26","0.52€","0.51€","86.703"
"2021-03-08 12:36","0.50€","0.51€","86.703"
"2021-03-08 12:46","0.52€","0.51€","86.703"
"2021-03-08 13:0","0.53€","0.51€","86.703"
"2021-03-08 13:4","0.54€","0.51€","86.703"
"2021-03-08 13:14","0.52€","0.52€","87.016"
"2021-03-08 13:24","0.54€","0.52€","87.016"
"2021-03-08 13:34","0.53€","0.52€","87.016"
"2021-03-08 13:44","0.51€","0.52€","87.016"
"2021-03-08 13:54","0.51€","0.52€","87.016"
"2021-03-08 14:26","0.51€","0.52€","87.342"
"2021-03-08 14:28","0.51€","0.52€","87.342"
"2021-03-08 14:38","0.53€","0.52€","87.342"
"2021-03-08 14:48","0.51€","0.52€","87.342"
"2021-03-08 14:58","0.53€","0.52€","87.342"
"2021-03-08 15:8","0.52€","0.52€","87.342"
"2021-03-08 15:19","0.51€","0.52€","86.851"
"2021-03-08 15:29","0.53€","0.52€","86.851"
"2021-03-08 15:39","0.51€","0.52€","86.851"
"2021-03-08 15:49","0.52€","0.52€","86.851"
"2021-03-08 15:53","0.52€","0.52€","86.851"
"2021-03-08 16:3","0.50€","0.52€","86.851"
"2021-03-08 16:23","0.51€","0.52€","85.805"
"2021-03-08 16:25","0.51€","0.52€","85.805"
"2021-03-08 16:26","0.51€","0.52€","85.805"
"2021-03-08 16:28","0.51€","0.52€","85.805"
"2021-03-08 16:33","0.51€","0.52€","85.805"
"2021-03-08 17:8","0.53€","0.52€","85.805"
"1615219740000","0.54€","0.52€","85.805"
"1615461240000","0.50€","0.51€","81.068"
"1615461360000","0.49€","0.51€","81.068"
"1615463040000","0.49€","0.51€","81.068"
"1615463040000","0.49€","0.51€","81.068"
"1615463040000","0.49€","0.51€","81.068"
"1615463700000","0.50€","0.51€","81.068"
"1615463760000","0.50€","0.51€","81.068"
"1615463820000","0.49€","0.51€","81.068"
"1615551960000","0.50€","0.51€","84.386"
"1615552020000","0.51€","0.51€","84.386"
"1615557780000","0.52€","0.50€","84.312"
"1615557780000","0.52€","0.50€","84.312"
"1615558140000","0.49€","0.50€","84.312"
1615558200000,"0.50€","0.50€","84.312"
