"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.25€","0.28€","63.807"
"2021-03-07 18:59","0.26€","0.28€","63.807"
"2021-03-07 19:27","0.27€","0.26€","63.441"
"2021-03-07 19:37","0.26€","0.26€","63.441"
"2021-03-07 19:47","0.27€","0.26€","63.441"
"2021-03-07 20:0","0.26€","0.26€","63.441"
"2021-03-07 20:10","0.26€","0.26€","63.441"
"2021-03-07 20:20","0.27€","0.26€","63.167"
"2021-03-07 20:30","0.26€","0.26€","63.167"
"2021-03-07 20:40","0.27€","0.26€","63.167"
"2021-03-07 20:50","0.25€","0.26€","63.167"
"2021-03-07 21:0","0.26€","0.26€","63.167"
"2021-03-07 21:10","0.25€","0.26€","63.167"
"2021-03-07 21:20","0.26€","0.26€","63.094"
"2021-03-07 21:30","0.25€","0.26€","63.094"
"2021-03-07 21:40","0.25€","0.26€","63.094"
"2021-03-07 21:50","0.25€","0.26€","63.094"
"2021-03-07 16:6","0.25€","0.26€","63.094"
"2021-03-07 22:21","0.25€","0.25€","62.772"
"2021-03-07 22:31","0.25€","0.25€","62.772"
"2021-03-07 22:41","0.26€","0.25€","62.772"
"2021-03-07 22:51","0.25€","0.25€","62.772"
"2021-03-07 23:1","0.25€","0.25€","62.772"
"2021-03-07 23:30","0.25€","0.25€","62.324"
"2021-03-07 23:40","0.25€","0.25€","62.324"
"2021-03-07 23:50","0.25€","0.25€","62.324"
"2021-03-08 0:0","0.25€","0.25€","62.324"
"2021-03-08 0:10","0.25€","0.25€","62.324"
"2021-03-08 0:20","0.25€","0.25€","61.680"
"2021-03-08 0:30","0.25€","0.25€","61.680"
"2021-03-08 0:40","0.26€","0.25€","61.680"
"2021-03-08 0:50","0.26€","0.25€","61.680"
"2021-03-08 1:0","0.25€","0.25€","61.680"
"2021-03-08 1:10","0.25€","0.25€","61.680"
"2021-03-08 1:20","0.25€","0.26€","61.570"
"2021-03-08 1:30","0.26€","0.26€","61.570"
"2021-03-08 1:40","0.26€","0.26€","61.570"
"2021-03-08 1:50","0.26€","0.26€","61.570"
"2021-03-08 2:0","0.26€","0.26€","61.570"
"2021-03-08 10:36","0.26€","0.28€","59.623"
"2021-03-08 10:46","0.27€","0.28€","59.623"
"2021-03-08 10:56","0.26€","0.28€","59.623"
"2021-03-08 11:6","0.26€","0.28€","59.623"
"2021-03-08 11:16","0.26€","0.27€","59.721"
"2021-03-08 11:26","0.27€","0.27€","59.721"
"2021-03-08 11:36","0.27€","0.27€","59.721"
"2021-03-08 11:46","0.27€","0.27€","59.721"
"2021-03-08 11:56","0.26€","0.27€","59.721"
"2021-03-08 12:6","0.28€","0.27€","59.721"
"2021-03-08 12:16","0.27€","0.28€","60.349"
"2021-03-08 12:26","0.27€","0.28€","60.349"
"2021-03-08 12:36","0.27€","0.28€","60.349"
"2021-03-08 12:46","0.27€","0.28€","60.349"
"2021-03-08 13:0","0.27€","0.28€","60.349"
"2021-03-08 13:4","0.27€","0.28€","60.349"
"2021-03-08 13:14","0.27€","0.28€","61.317"
"2021-03-08 13:24","0.27€","0.28€","61.317"
"2021-03-08 13:34","0.27€","0.28€","61.317"
"2021-03-08 13:44","0.27€","0.28€","61.317"
"2021-03-08 13:54","0.27€","0.28€","61.317"
"2021-03-08 14:26","0.27€","0.26€","62.808"
"2021-03-08 14:28","0.27€","0.26€","62.808"
"2021-03-08 14:38","0.27€","0.26€","62.808"
"2021-03-08 14:48","0.27€","0.26€","62.808"
"2021-03-08 14:58","0.27€","0.26€","62.808"
"2021-03-08 15:8","0.27€","0.26€","62.808"
"2021-03-08 15:19","0.26€","0.27€","63.211"
"2021-03-08 15:29","0.27€","0.27€","63.211"
"2021-03-08 15:39","0.27€","0.27€","63.211"
"2021-03-08 15:49","0.27€","0.27€","63.211"
"2021-03-08 15:53","0.27€","0.27€","63.211"
"2021-03-08 16:3","0.27€","0.27€","63.211"
"2021-03-08 16:23","0.27€","0.28€","62.853"
"2021-03-08 16:25","0.27€","0.28€","62.853"
"2021-03-08 16:26","0.27€","0.28€","62.853"
"2021-03-08 16:27","0.27€","0.28€","62.853"
"2021-03-08 16:28","0.27€","0.28€","62.853"
"2021-03-08 16:33","0.26€","0.28€","62.853"
"2021-03-08 17:8","0.27€","0.28€","62.853"
"1615219740000","0.27€","0.28€","62.853"
"1615461240000","0.27€","0.28€","58.196"
1615461360000,"0.28€","0.28€","58.196"
