"date","lowest_price","median_price","volume"
"2021-03-07 16:44","1.08€","1.10€","28.829"
"2021-03-07 16:49","1.08€","1.10€","28.829"
"2021-03-07 16:51","1.07€","1.10€","28.829"
"2021-03-07 17:1","1.07€","1.10€","28.829"
"2021-03-07 17:11","1.07€","1.10€","28.829"
"2021-03-07 17:21","1.08€","1.09€","28.611"
"2021-03-07 17:31","1.08€","1.09€","28.611"
"2021-03-07 17:41","1.07€","1.09€","28.611"
"2021-03-07 17:51","1.07€","1.09€","28.611"
"2021-03-07 18:1","1.06€","1.09€","28.611"
"2021-03-07 18:11","1.06€","1.08€","29.450"
"2021-03-07 18:21","1.07€","1.08€","29.450"
"2021-03-07 18:38","1.05€","1.08€","29.450"
"2021-03-07 18:41","1.06€","1.08€","29.450"
"2021-03-07 18:49","1.07€","1.08€","29.450"
"2021-03-07 18:59","1.06€","1.08€","29.450"
"2021-03-07 19:27","1.04€","1.07€","30.069"
"2021-03-07 19:37","1.03€","1.07€","30.069"
"2021-03-07 19:47","1.05€","1.07€","30.069"
"2021-03-07 20:0","1.05€","1.07€","30.069"
"2021-03-07 20:10","1.06€","1.04€","29.999"
"2021-03-07 20:20","1.05€","1.04€","29.999"
"2021-03-07 20:30","1.05€","1.04€","29.999"
"2021-03-07 20:40","1.06€","1.04€","29.999"
"2021-03-07 20:50","1.07€","1.04€","29.999"
"2021-03-07 21:0","1.04€","1.04€","29.999"
"2021-03-07 21:10","1.05€","1.04€","29.999"
"2021-03-07 21:20","1.04€","1.06€","30.127"
"2021-03-07 21:30","1.05€","1.06€","30.127"
"2021-03-07 21:40","1.05€","1.06€","30.127"
"2021-03-07 21:50","1.07€","1.06€","30.127"
