"date","lowest_price","median_price","volume"
"2021-03-07 16:44","1.62€","1.59€","15.958"
"2021-03-07 16:49","1.58€","1.59€","15.958"
"2021-03-07 16:51","1.58€","1.59€","15.958"
"2021-03-07 17:1","1.61€","1.59€","15.958"
"2021-03-07 17:11","1.58€","1.60€","15.623"
"2021-03-07 17:21","1.58€","1.60€","15.623"
"2021-03-07 17:31","1.58€","1.60€","15.623"
"2021-03-07 17:41","1.58€","1.60€","15.623"
"2021-03-07 17:51","1.61€","1.60€","15.623"
"2021-03-07 18:1","1.61€","1.60€","15.623"
"2021-03-07 18:11","1.61€","1.60€","15.184"
"2021-03-07 18:21","1.54€","1.60€","15.184"
"2021-03-07 18:38","1.61€","1.60€","15.184"
"2021-03-07 18:41","1.58€","1.60€","15.184"
"2021-03-07 18:49","1.61€","1.60€","15.184"
"2021-03-07 18:59","1.61€","1.60€","15.184"
"2021-03-07 19:27","1.58€","1.59€","15.114"
"2021-03-07 19:37","1.58€","1.59€","15.114"
"2021-03-07 19:47","1.61€","1.59€","15.114"
"2021-03-07 20:0","1.62€","1.59€","15.114"
"2021-03-07 20:10","1.62€","1.61€","14.839"
"2021-03-07 20:20","1.62€","1.61€","14.839"
"2021-03-07 20:30","1.62€","1.61€","14.839"
"2021-03-07 20:40","1.57€","1.61€","14.839"
"2021-03-07 20:50","1.56€","1.61€","14.839"
"2021-03-07 21:0","1.62€","1.61€","14.839"
"2021-03-07 21:10","1.62€","1.61€","14.970"
"2021-03-07 21:20","1.61€","1.61€","14.970"
"2021-03-07 21:30","1.61€","1.61€","14.970"
"2021-03-07 21:40","1.58€","1.61€","14.970"
"2021-03-07 21:50","1.62€","1.61€","14.970"
