"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.15€","0.14€","93.129"
"2021-03-07 18:59","0.14€","0.14€","93.129"
"2021-03-07 19:27","0.15€","0.14€","92.928"
"2021-03-07 19:37","0.14€","0.14€","92.928"
"2021-03-07 19:47","0.14€","0.14€","92.928"
"2021-03-07 20:0","0.14€","0.14€","92.928"
"2021-03-07 20:10","0.14€","0.14€","92.928"
"2021-03-07 20:20","0.15€","0.14€","92.901"
"2021-03-07 20:30","0.15€","0.14€","92.901"
"2021-03-07 20:40","0.15€","0.14€","92.901"
"2021-03-07 20:50","0.15€","0.14€","92.901"
"2021-03-07 21:0","0.14€","0.14€","92.901"
"2021-03-07 21:10","0.15€","0.14€","92.901"
"2021-03-07 21:20","0.15€","0.14€","93.476"
"2021-03-07 21:30","0.14€","0.14€","93.476"
"2021-03-07 21:40","0.14€","0.14€","93.476"
"2021-03-07 21:50","0.14€","0.14€","93.476"
"2021-03-07 16:6","0.14€","0.14€","93.476"
"2021-03-07 22:21","0.14€","0.14€","92.858"
"2021-03-07 22:31","0.14€","0.14€","92.858"
"2021-03-07 22:41","0.14€","0.14€","92.858"
"2021-03-07 22:51","0.14€","0.14€","92.858"
"2021-03-07 23:1","0.14€","0.14€","92.858"
"2021-03-07 23:30","0.14€","0.14€","92.048"
"2021-03-07 23:40","0.14€","0.14€","92.048"
"2021-03-07 23:50","0.14€","0.14€","92.048"
"2021-03-08 0:0","0.14€","0.14€","92.048"
"2021-03-08 0:10","0.14€","0.14€","92.048"
"2021-03-08 0:20","0.14€","0.13€","91.173"
"2021-03-08 0:30","0.14€","0.13€","91.173"
"2021-03-08 0:40","0.14€","0.13€","91.173"
"2021-03-08 0:50","0.14€","0.13€","91.173"
"2021-03-08 1:0","0.14€","0.13€","91.173"
"2021-03-08 1:10","0.14€","0.13€","91.173"
"2021-03-08 1:20","0.14€","0.13€","90.138"
"2021-03-08 1:30","0.14€","0.13€","90.138"
"2021-03-08 1:40","0.14€","0.13€","90.138"
"2021-03-08 1:50","0.14€","0.13€","90.138"
"2021-03-08 2:0","0.14€","0.13€","90.138"
"2021-03-08 2:10","0.14€","0.13€","90.138"
"2021-03-08 10:36","0.15€","0.14€","91.499"
"2021-03-08 10:46","0.15€","0.14€","91.499"
"2021-03-08 10:56","0.15€","0.14€","91.499"
"2021-03-08 11:6","0.15€","0.14€","91.499"
"2021-03-08 11:16","0.15€","0.15€","92.533"
"2021-03-08 11:26","0.15€","0.15€","92.533"
"2021-03-08 11:36","0.15€","0.15€","92.533"
"2021-03-08 11:46","0.15€","0.15€","92.533"
"2021-03-08 11:56","0.14€","0.15€","92.533"
"2021-03-08 12:6","0.14€","0.15€","92.533"
"2021-03-08 12:16","0.14€","0.14€","93.058"
"2021-03-08 12:26","0.14€","0.14€","93.058"
"2021-03-08 12:36","0.14€","0.14€","93.058"
"2021-03-08 12:46","0.14€","0.14€","93.058"
"2021-03-08 13:0","0.14€","0.14€","93.058"
"2021-03-08 13:4","0.14€","0.14€","93.058"
"2021-03-08 13:14","0.14€","0.14€","94.445"
"2021-03-08 13:24","0.14€","0.14€","94.445"
"2021-03-08 13:34","0.14€","0.14€","94.445"
"2021-03-08 13:44","0.14€","0.14€","94.445"
"2021-03-08 13:54","0.13€","0.14€","94.445"
"2021-03-08 14:26","0.14€","0.14€","95.792"
"2021-03-08 14:28","0.14€","0.14€","95.792"
"2021-03-08 14:38","0.14€","0.14€","95.792"
"2021-03-08 14:48","0.14€","0.14€","95.792"
