"date","lowest_price","median_price","volume"
"2021-03-07 18:49","0.46€","0.47€","30.779"
"2021-03-07 18:59","0.47€","0.47€","30.779"
"2021-03-07 19:27","0.46€","0.47€","31.055"
"2021-03-07 19:37","0.47€","0.47€","31.055"
"2021-03-07 19:47","0.46€","0.47€","31.055"
"2021-03-07 20:0","0.47€","0.47€","31.055"
"2021-03-07 20:10","0.48€","0.46€","30.520"
"2021-03-07 20:20","0.46€","0.46€","30.520"
"2021-03-07 20:30","0.46€","0.46€","30.520"
"2021-03-07 20:40","0.46€","0.46€","30.520"
"2021-03-07 20:50","0.46€","0.46€","30.520"
"2021-03-07 21:0","0.46€","0.46€","30.520"
"2021-03-07 21:10","0.48€","0.46€","30.520"
"2021-03-07 21:20","0.47€","0.47€","30.751"
"2021-03-07 21:30","0.46€","0.47€","30.751"
"2021-03-07 21:40","0.46€","0.47€","30.751"
"2021-03-07 21:50","0.46€","0.47€","30.751"
