"date","lowest_price","median_price","volume"
"1615219740000","465.35€","",""
"1615322760000","466.57€","454.26€","2"
"1615322760000","466.57€","454.26€","2"
"1615322940000","466.57€","454.26€","2"
"1615323540000","466.57€","454.26€","2"
"1615324140000","466.57€","454.26€","2"
"1615326000000","466.57€","454.26€","1"
"1615326360000","466.57€","454.26€","1"
"1615326420000","466.57€","454.26€","1"
"1615326540000","466.57€","454.26€","1"
"1615327860000","465.92€","453.30€","1"
"1615328460000","465.92€","453.30€","1"
"1615329060000","465.92€","453.30€","1"
"1615329660000","465.92€","453.30€","1"
"1615330260000","460.--€","453.30€","1"
"1615330860000","460.--€","453.30€","1"
"1615331460000","460.--€","453.30€","1"
"1615332060000","460.--€","453.30€","1"
"1615332660000","460.--€","453.30€","1"
"1615333260000","460.--€","453.30€","1"
"1615333860000","460.--€","453.30€","1"
"1615334460000","460.--€","453.30€","1"
"1615335000000","460.--€","453.30€","1"
"1615335060000","460.--€","453.30€","1"
"1615335660000","460.--€","453.30€","1"
"1615336260000","460.--€","453.30€","1"
"1615336860000","460.--€","453.30€","1"
"1615337460000","460.--€","453.30€","1"
"1615338060000","460.--€","453.30€","1"
"1615338660000","460.--€","453.30€","1"
"1615339260000","460.--€","453.30€","1"
"1615339860000","460.--€","453.30€","1"
"1615340460000","460.--€","453.30€","1"
"1615341060000","460.--€","453.30€","1"
"1615341660000","460.--€","453.30€","1"
"1615342260000","460.--€","453.30€","1"
"1615342860000","460.--€","453.30€","1"
"1615343460000","460.--€","453.30€","1"
"1615344060000","460.--€","453.30€","1"
"1615344660000","460.--€","453.30€","1"
"1615345260000","460.--€","453.30€","1"
"1615345860000","460.--€","453.30€","1"
"1615346460000","460.--€","453.30€","1"
"1615347060000","460.--€","453.30€","1"
"1615347660000","460.--€","453.30€","1"
"1615348260000","460.--€","453.30€","1"
"1615348860000","460.--€","453.30€","1"
"1615349460000","460.--€","453.30€","1"
"1615350060000","460.--€","453.30€","1"
"1615350660000","460.--€","453.30€","1"
"1615351260000","460.--€","453.30€","1"
"1615351860000","460.--€","453.30€","1"
"1615352460000","460.--€","453.30€","1"
"1615353060000","460.--€","453.30€","1"
"1615353660000","460.--€","453.30€","1"
"1615354260000","460.--€","453.30€","1"
"1615354860000","460.--€","453.30€","1"
