"date","lowest_price","median_price","volume"
"1615219740000","796.03€","756.15€","1"
"1615322760000","790.90€","800.37€","2"
"1615322940000","790.90€","800.37€","2"
"1615323540000","790.90€","800.37€","2"
"1615324140000","790.90€","800.37€","2"
"1615326000000","788.--€","800.37€","2"
"1615326360000","788.--€","800.37€","2"
"1615326540000","788.--€","800.37€","2"
"1615327860000","788.--€","798.69€","2"
"1615328460000","782.96€","798.69€","1"
"1615329060000","782.96€","798.69€","1"
"1615329660000","782.96€","798.69€","1"
"1615330260000","782.96€","798.69€","1"
"1615330860000","782.96€","798.69€","1"
"1615331460000","782.96€","798.69€","1"
"1615332060000","782.96€","798.69€","1"
"1615332660000","782.96€","798.69€","1"
"1615333260000","782.96€","798.69€","1"
"1615333860000","782.96€","798.69€","1"
"1615334460000","782.96€","798.69€","1"
"1615335000000","782.96€","798.69€","1"
"1615335660000","782.96€","798.69€","1"
"1615336260000","782.96€","798.69€","1"
"1615336860000","782.96€","798.69€","1"
"1615337460000","782.96€","798.69€","1"
"1615338060000","782.96€","798.69€","1"
"1615338660000","782.96€","798.69€","1"
"1615339260000","782.96€","798.69€","1"
"1615339860000","782.96€","798.69€","1"
"1615340460000","782.96€","798.69€","1"
"1615341060000","782.96€","798.69€","1"
"1615341660000","782.96€","798.69€","1"
"1615342260000","782.96€","798.69€","1"
"1615342860000","782.96€","",""
"1615343460000","782.96€","",""
"1615344060000","782.96€","",""
"1615344660000","782.96€","",""
"1615345260000","782.96€","",""
"1615345860000","782.96€","",""
"1615346460000","782.96€","",""
"1615347060000","782.96€","",""
"1615347660000","782.96€","",""
"1615348260000","782.96€","",""
"1615348860000","782.96€","",""
"1615349460000","782.96€","",""
"1615350060000","782.96€","",""
"1615350660000","782.96€","",""
"1615351260000","782.96€","",""
"1615351860000","782.96€","",""
"1615352460000","782.96€","",""
"1615353060000","782.96€","",""
"1615353660000","782.96€","",""
"1615354260000","782.96€","",""
"1615354860000","782.96€","",""
"1615355460000","782.96€","",""
"1615356060000","782.96€","",""
"1615356660000","782.96€","",""
"1615357260000","782.96€","",""
"1615357860000","782.96€","",""
"1615358460000","782.96€","",""
"1615359060000","782.96€","",""
"1615359660000","782.96€","",""
"1615360260000","782.96€","",""
"1615360860000","782.96€","",""
"1615361460000","782.96€","",""
"1615362060000","782.96€","",""
"1615362660000","782.96€","",""
"1615363260000","782.96€","",""
"1615363860000","782.96€","",""
"1615364460000","782.96€","",""
"1615365060000","782.96€","",""
"1615365660000","782.96€","",""
"1615366260000","782.96€","",""
"1615366860000","782.96€","",""
"1615367460000","782.96€","",""
"1615368060000","782.96€","",""
"1615368660000","782.96€","",""
"1615369260000","782.96€","",""
"1615369860000","782.96€","",""
"1615370460000","782.96€","",""
"1615371060000","782.96€","",""
"1615371660000","782.96€","",""
"1615372260000","782.96€","",""
"1615372860000","782.96€","",""
"1615373460000","782.96€","",""
"1615374060000","782.96€","",""
"1615374660000","782.96€","",""
"1615375260000","782.96€","",""
"1615375860000","782.96€","",""
"1615376460000","782.96€","",""
"1615377060000","782.96€","",""
"1615387140000","782.96€","788.--€","1"
"1615387740000","782.96€","788.--€","1"
"1615388340000","782.96€","788.--€","1"
"1615388940000","782.96€","788.--€","1"
"1615389540000","782.96€","788.--€","1"
"1615390140000","782.96€","788.--€","1"
"1615390740000","782.96€","788.--€","1"
"1615391340000","782.96€","788.--€","1"
"1615391940000","782.96€","788.--€","1"
"1615392540000","782.96€","788.--€","1"
"1615393140000","797.--€","788.--€","1"
"1615393740000","797.--€","788.--€","1"
"1615394340000","797.--€","788.--€","1"
"1615394940000","797.--€","788.--€","1"
"1615395540000","797.--€","788.--€","1"
"1615401300000","798.99€","797.01€","3"
"1615401360000","798.99€","797.01€","3"
"1615401960000","798.99€","797.01€","3"
"1615402560000","798.99€","797.01€","3"
"1615403160000","798.99€","797.01€","3"
"1615403760000","798.99€","797.01€","3"
"1615404360000","798.99€","797.01€","3"
"1615404960000","798.99€","797.01€","3"
"1615405560000","798.99€","797.01€","3"
"1615406160000","798.99€","797.01€","3"
"1615408560000","798.99€","797.01€","3"
"1615409160000","798.99€","797.01€","3"
"1615421700000","798.99€","795.41€","3"
"1615421760000","798.99€","795.41€","3"
"1615422360000","798.99€","795.41€","3"
"1615422960000","798.99€","795.41€","3"
"1615423560000","798.99€","795.41€","3"
"1615424160000","798.99€","795.41€","3"
"1615424760000","798.99€","795.41€","3"
"1615425360000","798.99€","795.41€","3"
"1615425960000","798.99€","795.41€","3"
"1615426560000","798.99€","795.41€","3"
"1615427160000","798.99€","795.41€","3"
"1615427760000","798.99€","795.41€","3"
"1615428360000","798.99€","795.41€","3"
"1615428960000","798.99€","795.41€","3"
"1615429560000","798.99€","795.41€","3"
"1615460520000","800.--€","795.41€","3"
"1615461180000","800.--€","795.41€","3"
