"date","lowest_price","median_price","volume"
"1615461960000","0.28€","0.28€","58.196"
"1615461960000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463040000","0.28€","0.28€","58.196"
"1615463700000","0.27€","0.28€","58.196"
"1615463760000","0.27€","0.28€","58.196"
"1615463820000","0.26€","0.28€","58.196"
"1615551960000","0.29€","0.29€","62.505"
"1615551960000","0.29€","0.29€","62.505"
"1615552020000","0.29€","0.29€","62.505"
"1615557480000","0.30€","0.30€","64.555"
"1615557780000","0.29€","0.30€","64.555"
"1615557780000","0.29€","0.30€","64.555"
"1615558140000","0.29€","0.30€","64.555"
"1615558200000","0.30€","0.30€","64.555"
"1615562820000","0.29€","0.31€","68.206"
"1615562820000","0.29€","0.31€","68.206"
"1615563120000","0.30€","0.31€","68.206"
"1615563480000","0.30€","0.31€","68.206"
"1615563900000","0.29€","0.31€","68.206"
"1615564080000","0.30€","0.31€","68.206"
"1615566060000","0.29€","0.30€","67.485"
"1615568100000","0.30€","0.30€","67.485"
"1615570080000","0.30€","0.30€","67.528"
"1615572060000","0.29€","0.30€","67.528"
"1615595400000","0.30€","0.28€","72.598"
"1615597380000","0.30€","0.28€","72.598"
"1615599420000","0.30€","0.29€","72.700"
"1615601400000","0.28€","0.29€","72.700"
"1615603380000","0.30€","0.29€","72.700"
"1615605420000","0.30€","0.29€","72.700"
"1615607400000","0.30€","0.29€","72.700"
"1615609380000","0.31€","0.31€","73.503"
"1615636920000","0.32€","0.33€","74.753"
"1615637580000","0.31€","0.33€","74.753"
"1615638240000","0.30€","0.33€","74.753"
"1615638900000","0.31€","0.33€","74.753"
"1615639560000","0.31€","0.33€","74.753"
"1615640220000","0.32€","0.33€","74.753"
"1615640880000","0.32€","0.33€","74.753"
"1615641540000","0.29€","0.33€","74.294"
"1615642200000","0.32€","0.33€","74.294"
"1615642860000","0.32€","0.33€","74.294"
"1615643520000","0.29€","0.33€","74.294"
"1615644180000","0.32€","0.33€","74.294"
"1615682280000","0.31€","0.33€","74.524"
"1615682580000","0.29€","0.33€","74.524"
"1615682880000","0.30€","0.33€","74.524"
"1615683180000","0.27€","0.33€","74.524"
"1615683480000","0.31€","0.33€","74.524"
"1615683780000","0.30€","0.33€","74.524"
"1615684080000","0.31€","0.33€","74.524"
"1615684380000","0.30€","0.33€","74.524"
"1615684680000","0.29€","0.33€","74.524"
"1615684980000","0.29€","0.33€","74.524"
"1615685280000","0.29€","0.33€","74.524"
"1615685580000","0.30€","0.33€","74.524"
"1615685880000","0.32€","0.33€","74.524"
"1615686180000","0.30€","0.33€","74.524"
"1615686480000","0.31€","0.33€","74.524"
"1615686780000","0.31€","0.33€","74.524"
"1615687080000","0.29€","0.33€","74.524"
"1615687380000","0.30€","0.33€","74.524"
"1615687680000","0.30€","0.33€","74.524"
"1615687980000","0.30€","0.32€","74.691"
"1615688280000","0.31€","0.32€","74.691"
"1615688580000","0.31€","0.32€","74.691"
"1615688880000","0.31€","0.32€","74.691"
"1615689180000","0.32€","0.32€","74.691"
"1615689480000","0.32€","0.32€","74.691"
"1615689780000","0.32€","0.32€","74.691"
"1615725600000","0.31€","0.33€","73.891"
"1615725900000","0.31€","0.33€","73.891"
"1615726200000","0.34€","0.33€","73.891"
"1615726500000","0.34€","0.33€","73.891"
"1615726800000","0.34€","0.33€","73.891"
"1615727100000","0.28€","0.33€","73.891"
"1615727400000","0.34€","0.33€","73.891"
"1615727700000","0.34€","0.33€","73.891"
"1615728000000","0.34€","0.33€","73.891"
"1615728300000","0.34€","0.33€","73.891"
"1615728600000","0.34€","0.33€","73.891"
"1615728900000","0.31€","0.33€","73.891"
"1615729200000","0.34€","0.33€","73.891"
"1615729500000","0.34€","0.33€","73.891"
"1615729800000","0.34€","0.33€","73.891"
"1615730100000","0.34€","0.33€","73.891"
"1615730400000","0.34€","0.33€","73.891"
"1615730700000","0.34€","0.33€","73.891"
"1615731000000","0.34€","0.33€","73.891"
"1615731300000","0.34€","0.33€","73.891"
"1615731600000","0.31€","0.33€","73.891"
"1615731900000","0.32€","0.33€","73.891"
"1615732200000","0.31€","0.33€","73.891"
"1615732500000","0.31€","0.33€","73.891"
"1615732800000","0.31€","0.33€","73.891"
"1615733100000","0.32€","0.33€","73.891"
"1615743540000","0.34€","0.33€","73.737"
"1615743840000","0.34€","0.33€","73.737"
"1615744140000","0.32€","0.33€","73.737"
"1615744440000","0.34€","0.33€","73.737"
"1615744740000","0.34€","0.33€","73.737"
"1615745040000","0.31€","0.33€","73.737"
"1615745340000","0.34€","0.33€","73.737"
"1615745640000","0.32€","0.33€","73.737"
"1615819560000","0.31€","0.32€","68.314"
"1615820160000","0.31€","0.32€","68.314"
"1615820400000","0.32€","0.32€","68.314"
"1615820520000","0.32€","0.32€","68.314"
"1615820760000","0.32€","0.32€","68.314"
"1615820760000","0.32€","0.32€","68.314"
"1615820760000","0.32€","0.32€","68.314"
"1615820820000","0.32€","0.32€","68.314"
"1615820820000","0.32€","0.32€","68.314"
"1615820880000","0.32€","0.32€","68.314"
"1615820940000","0.31€","0.32€","68.314"
"1615821780000","0.32€","0.32€","68.314"
"1615821780000","0.32€","0.32€","68.314"
"1615821840000","0.32€","0.32€","68.314"
"1615821840000","0.32€","0.32€","68.314"
"1615821900000","0.32€","0.32€","68.314"
"1615821900000","0.32€","0.32€","68.314"
"1615822500000","0.31€","0.32€","68.314"
"1615822980000","0.31€","0.32€","68.314"
"1615823460000","0.31€","0.32€","68.314"
"1615823940000","0.31€","0.32€","68.314"
"1615824420000","0.31€","0.32€","68.314"
"1615824900000","0.31€","0.32€","68.314"
