"date","lowest_price","median_price","volume"
"1615219740000","0.71€","0.71€","136.947"
"1615322760000","0.69€","0.69€","154.214"
"1615322940000","0.69€","0.69€","154.214"
"1615323540000","0.69€","0.69€","154.214"
"1615324140000","0.69€","0.69€","154.214"
"1615326000000","0.69€","0.69€","154.567"
"1615326360000","0.69€","0.69€","154.567"
"1615326420000","0.69€","0.69€","154.567"
"1615326540000","0.69€","0.69€","154.567"
"1615327860000","0.69€","0.69€","154.567"
"1615328460000","0.66€","0.69€","158.444"
"1615329060000","0.66€","0.69€","158.444"
"1615329660000","0.66€","0.69€","158.444"
"1615330260000","0.66€","0.69€","158.444"
"1615330860000","0.66€","0.69€","158.444"
"1615331460000","0.69€","0.69€","158.444"
"1615332060000","0.66€","0.68€","168.442"
"1615332660000","0.66€","0.68€","168.442"
"1615333260000","0.69€","0.68€","168.442"
"1615333860000","0.69€","0.68€","168.442"
"1615334460000","0.69€","0.68€","168.442"
"1615335000000","0.69€","0.68€","168.442"
"1615335060000","0.69€","0.68€","168.442"
"1615335660000","0.69€","0.68€","169.350"
"1615336260000","0.69€","0.68€","169.350"
"1615336860000","0.69€","0.68€","169.350"
"1615337460000","0.69€","0.68€","169.350"
"1615338060000","0.70€","0.68€","169.350"
"1615338660000","0.70€","0.69€","172.469"
"1615339260000","0.70€","0.69€","172.469"
"1615339860000","0.70€","0.69€","172.469"
"1615340460000","0.70€","0.69€","172.469"
"1615341060000","0.70€","0.69€","172.469"
"1615341660000","0.70€","0.69€","172.469"
"1615342260000","0.70€","0.70€","175.517"
"1615342860000","0.70€","0.70€","175.517"
"1615343460000","0.70€","0.70€","175.517"
"1615344060000","0.70€","0.70€","175.517"
"1615344660000","0.70€","0.70€","175.517"
"1615345260000","0.70€","0.70€","175.517"
"1615345860000","0.70€","0.69€","175.527"
"1615346460000","0.70€","0.69€","175.527"
"1615347060000","0.70€","0.69€","175.527"
"1615347660000","0.71€","0.69€","175.527"
"1615348260000","0.71€","0.69€","175.527"
"1615348860000","0.71€","0.69€","175.527"
"1615349460000","0.70€","0.69€","175.527"
"1615350060000","0.71€","0.70€","176.793"
"1615350660000","0.71€","0.70€","176.793"
"1615351260000","0.71€","0.70€","176.793"
"1615351860000","0.71€","0.70€","176.793"
"1615352460000","0.71€","0.70€","176.793"
"1615353060000","0.71€","0.70€","177.089"
"1615353660000","0.71€","0.70€","177.089"
"1615354260000","0.71€","0.70€","177.089"
"1615354860000","0.71€","0.70€","177.089"
