"date","lowest_price","median_price","volume"
"1615219740000","0.14€","0.14€","96.207"
"1615322760000","0.13€","0.13€","84.317"
"1615322760000","0.13€","0.13€","84.317"
"1615322940000","0.13€","0.13€","84.317"
"1615323540000","0.13€","0.13€","84.317"
"1615324140000","0.13€","0.13€","84.317"
"1615326000000","0.13€","0.13€","85.981"
"1615326360000","0.13€","0.13€","85.981"
"1615326540000","0.13€","0.13€","85.981"
"1615327860000","0.13€","0.12€","85.981"
"1615328460000","0.13€","0.12€","87.357"
"1615329060000","0.13€","0.12€","87.357"
"1615329660000","0.13€","0.12€","87.357"
"1615330260000","0.13€","0.12€","87.357"
"1615330860000","0.13€","0.12€","87.357"
"1615331460000","0.13€","0.12€","87.357"
"1615332060000","0.13€","0.12€","87.247"
"1615332660000","0.13€","0.12€","87.247"
"1615333260000","0.13€","0.12€","87.247"
"1615333860000","0.13€","0.12€","87.247"
"1615334460000","0.13€","0.12€","87.247"
"1615335000000","0.13€","0.12€","87.247"
"1615335060000","0.13€","0.12€","87.247"
"1615335060000","0.13€","0.12€","87.247"
"1615335660000","0.13€","0.12€","86.441"
"1615336260000","0.13€","0.12€","86.441"
"1615336860000","0.13€","0.12€","86.441"
"1615337460000","0.13€","0.12€","86.441"
"1615338060000","0.13€","0.12€","86.441"
"1615338660000","0.13€","0.12€","86.441"
"1615339260000","0.13€","0.12€","86.438"
"1615339860000","0.13€","0.12€","86.438"
"1615340460000","0.13€","0.12€","86.438"
"1615341060000","0.13€","0.12€","86.438"
"1615341660000","0.13€","0.12€","86.438"
"1615342260000","0.13€","0.12€","86.419"
"1615342860000","0.13€","0.12€","86.419"
"1615343460000","0.13€","0.12€","86.419"
"1615344060000","0.13€","0.12€","86.419"
"1615344660000","0.13€","0.12€","86.419"
"1615345260000","0.13€","0.12€","86.419"
"1615345860000","0.13€","0.13€","86.059"
"1615346460000","0.13€","0.13€","86.059"
"1615347060000","0.13€","0.13€","86.059"
"1615347660000","0.13€","0.13€","86.059"
"1615348260000","0.13€","0.13€","86.059"
"1615348860000","0.13€","0.13€","86.059"
"1615349460000","0.13€","0.13€","86.059"
"1615350060000","0.14€","0.13€","86.059"
"1615350660000","0.13€","0.13€","86.059"
"1615351260000","0.13€","0.13€","86.059"
"1615351860000","0.13€","0.13€","86.059"
"1615352460000","0.13€","0.13€","86.059"
"1615353060000","0.13€","0.13€","86.059"
"1615353660000","0.13€","0.13€","85.544"
"1615354260000","0.13€","0.13€","85.544"
"1615354860000","0.14€","0.13€","85.544"
"1615355460000","0.14€","0.13€","85.544"
"1615356060000","0.14€","0.13€","85.544"
"1615356660000","0.13€","0.13€","85.544"
"1615357260000","0.13€","0.13€","84.742"
"1615357860000","0.13€","0.13€","84.742"
"1615358460000","0.13€","0.13€","84.742"
"1615359060000","0.13€","0.13€","84.742"
"1615359660000","0.13€","0.13€","84.742"
"1615360260000","0.13€","0.13€","85.423"
"1615360860000","0.13€","0.13€","85.423"
"1615361460000","0.13€","0.13€","85.423"
"1615362060000","0.13€","0.13€","85.423"
"1615362660000","0.13€","0.13€","85.423"
"1615363260000","0.13€","0.13€","85.423"
"1615363860000","0.13€","0.13€","85.423"
"1615364460000","0.13€","0.13€","85.742"
"1615365060000","0.13€","0.13€","85.742"
"1615365660000","0.13€","0.13€","85.742"
"1615366260000","0.13€","0.13€","85.742"
"1615366860000","0.13€","0.13€","85.742"
"1615367460000","0.13€","0.13€","85.742"
"1615368060000","0.13€","0.13€","84.935"
"1615368660000","0.12€","0.13€","84.935"
"1615369260000","0.13€","0.13€","84.935"
"1615369860000","0.13€","0.13€","84.935"
