"date","lowest_price","median_price","volume"
"1615219740000","0.47€","0.47€","25.363"
"1615322760000","0.46€","0.46€","23.040"
"1615322760000","0.46€","0.46€","23.040"
"1615322940000","0.47€","0.46€","23.040"
"1615323540000","0.43€","0.46€","23.040"
"1615324140000","0.43€","0.46€","23.040"
"1615326000000","0.46€","0.44€","23.163"
"1615326360000","0.46€","0.44€","23.163"
"1615326540000","0.46€","0.44€","23.163"
"1615327860000","0.43€","0.43€","23.163"
"1615328460000","0.46€","0.45€","23.198"
"1615329060000","0.43€","0.45€","23.198"
"1615329660000","0.43€","0.45€","23.198"
"1615330260000","0.43€","0.45€","23.198"
"1615330860000","0.42€","0.45€","23.198"
"1615331460000","0.43€","0.45€","23.198"
"1615332060000","0.43€","0.44€","23.089"
"1615332660000","0.42€","0.44€","23.089"
"1615333260000","0.46€","0.44€","23.089"
"1615333860000","0.42€","0.44€","23.089"
"1615334460000","0.42€","0.44€","23.089"
"1615335000000","0.43€","0.44€","23.089"
"1615335660000","0.46€","0.43€","22.998"
"1615336260000","0.46€","0.43€","22.998"
"1615336860000","0.46€","0.43€","22.998"
"1615337460000","0.43€","0.43€","22.998"
"1615338060000","0.43€","0.43€","22.998"
"1615338660000","0.43€","0.43€","22.998"
"1615339260000","0.43€","0.44€","22.856"
"1615339860000","0.42€","0.44€","22.856"
"1615340460000","0.43€","0.44€","22.856"
"1615341060000","0.43€","0.44€","22.856"
"1615341660000","0.46€","0.44€","22.856"
"1615342260000","0.47€","0.44€","22.293"
"1615342860000","0.47€","0.44€","22.293"
"1615343460000","0.47€","0.44€","22.293"
"1615344060000","0.47€","0.44€","22.293"
"1615344660000","0.46€","0.44€","22.293"
"1615345260000","0.46€","0.44€","22.293"
"1615345860000","0.48€","0.44€","22.293"
"1615346460000","0.48€","0.47€","22.673"
"1615347060000","0.48€","0.47€","22.673"
"1615347660000","0.48€","0.47€","22.673"
"1615348260000","0.48€","0.47€","22.673"
"1615348860000","0.48€","0.47€","22.673"
"1615349460000","0.48€","0.47€","22.673"
"1615350060000","0.47€","0.48€","22.079"
"1615350660000","0.43€","0.48€","22.079"
"1615351260000","0.46€","0.48€","22.079"
"1615351860000","0.48€","0.48€","22.079"
"1615352460000","0.46€","0.48€","22.079"
"1615353060000","0.48€","0.48€","22.079"
"1615353660000","0.48€","0.48€","22.159"
"1615354260000","0.47€","0.48€","22.159"
"1615354860000","0.48€","0.48€","22.159"
"1615355460000","0.48€","0.48€","22.159"
"1615356060000","0.48€","0.48€","22.159"
"1615356660000","0.48€","0.48€","22.159"
"1615357260000","0.46€","0.48€","22.081"
"1615357860000","0.47€","0.48€","22.081"
"1615358460000","0.48€","0.48€","22.081"
"1615359060000","0.48€","0.48€","22.081"
"1615359660000","0.48€","0.48€","22.081"
"1615360260000","0.48€","0.48€","22.081"
"1615360860000","0.47€","0.48€","22.107"
"1615361460000","0.48€","0.48€","22.107"
"1615362060000","0.48€","0.48€","22.107"
"1615362660000","0.46€","0.48€","22.107"
"1615363260000","0.46€","0.48€","22.107"
"1615363860000","0.48€","0.48€","22.107"
"1615364460000","0.47€","0.48€","22.128"
"1615365060000","0.48€","0.48€","22.128"
"1615365660000","0.46€","0.48€","22.128"
"1615366260000","0.46€","0.48€","22.128"
"1615366860000","0.47€","0.48€","22.128"
"1615367460000","0.47€","0.48€","22.128"
"1615368060000","0.47€","0.47€","22.212"
"1615368660000","0.43€","0.47€","22.212"
"1615369260000","0.43€","0.47€","22.212"
"1615369860000","0.46€","0.47€","22.212"
"1615370460000","0.46€","0.47€","22.212"
"1615371060000","0.47€","0.47€","22.212"
"1615371660000","0.47€","0.46€","22.257"
"1615372260000","0.46€","0.46€","22.257"
"1615372860000","0.46€","0.46€","22.257"
"1615373460000","0.46€","0.46€","22.257"
"1615374060000","0.46€","0.46€","22.257"
"1615374660000","0.42€","0.46€","22.299"
"1615375260000","0.47€","0.46€","22.299"
"1615375860000","0.47€","0.46€","22.299"
"1615376460000","0.46€","0.46€","22.299"
"1615377060000","0.46€","0.46€","22.299"
"1615387140000","0.47€","0.46€","22.259"
"1615387740000","0.46€","0.46€","22.259"
"1615388340000","0.46€","0.46€","22.259"
"1615388940000","0.46€","0.46€","22.259"
"1615389540000","0.42€","0.47€","22.654"
"1615390140000","0.43€","0.47€","22.654"
"1615390740000","0.43€","0.47€","22.654"
"1615391340000","0.42€","0.47€","22.654"
"1615391940000","0.42€","0.47€","22.654"
"1615392540000","0.46€","0.47€","22.654"
"1615393140000","0.47€","0.44€","22.674"
"1615393740000","0.43€","0.44€","22.674"
"1615394340000","0.43€","0.44€","22.674"
"1615394940000","0.43€","0.44€","22.674"
"1615395540000","0.47€","0.44€","22.674"
